"2,,""Micrometru"",""UL"",""ro""";;
"73,,""фт2"",""UA"",""ru""";;
"75,,""ярд2"",""UA"",""ru""";;
"81,,""м2 o6щ пл."",""UA"",""ru""";;
"83,,""м2 o6щ пл."",""UA"",""ru""";;
"84,,""м2 жил.пл."",""UA"",""ru""";;
"85,,""м2 жил.пл."",""UA"",""ru""";;
"86,,""м2 жил.пл."",""UA"",""ru""";;
"87,,""м2 уч.лаб. здан."",""UA"",""ru""";;
"88,,""м2 уч.лаб. здан."",""UA"",""ru""";;
"89,,""м2 2 мм исч"",""UA"",""ru""";;
"109,,""a"",""UA"",""ru""";;
"110,,""мм3"",""UV"",""ru""";;
"111,,""cм3";" мл"",""UV"",""ru""";
"112,,""л";" дм3"",""UV"",""ru""";
"113,,""м3"",""UV"",""ru""";;
"114,,""м3"",""UV"",""ru""";;
"115,,""109 м3"",""UV"",""ru""";;
"116,,""дал"",""UV"",""ru""";;
"118,,""дл"",""UV"",""ru""";;
"119,,""дал"",""UV"",""ru""";;
"120,,""дал"",""UV"",""ru""";;
"121,,""плотн. м3"",""UV"",""ru""";;
"122,,""гл"",""UV"",""ru""";;
"123,,""усл. м3"",""UV"",""ru""";;
"124,,""усл. м3"",""UV"",""ru""";;
"125,,""м3 перераб.газа"",""UV"",""ru""";;
"126,,""Mл"",""UV"",""ru""";;
"127,,""плотн. м3"",""UV"",""ru""";;
"128,,""пол.л"",""UV"",""ru""";;
"129,,""пол.л"",""UV"",""ru""";;
"131,,""дюйм3"",""UV"",""ru""";;
"132,,""фт3"",""UV"",""ru""";;
"133,,""ярд3"",""UV"",""ru""";;
"134,,""м3 вмест."",""UV"",""ru""";;
"156,,""м3привед."",""UV"",""ru""";;
"157,,""л/мин"",""UV"",""ru""";;
"158,,""ji/cyт."",""UV"",""ru""";;
"160,,""гг"",""UM"",""ru""";;
"161,,""мг"",""UM"",""ru""";;
"162,,""кap"",""UM"",""ru""";;
"163,,""r"",""UM"",""ru""";;
"165,,""kap"",""UM"",""ru""";;
"166,,""kг"",""UM"",""ru""";;
"167,,""kap"",""UM"",""ru""";;
"168,,""T"",""UM"",""ru""";;
"169,,""т"",""UM"",""ru""";;
"170,,""т";" kt"",""UM"",""ru""";
"171,,""I06 т"",""UM"",""ru""";;
"172,,""т  усл.топл."",""UM"",""ru""";;
"173,,""cг"",""UM"",""ru""";;
"175,,""т усл.топл."",""UM"",""ru""";;
"176,,""т усл.топл."",""UM"",""ru""";;
"177,,""т единовр.хран."",""UM"",""ru""";;
"178,,""т перераб."",""UM"",""ru""";;
"179,,""ycл. т"",""UM"",""ru""";;
"180,,""aвтo t"",""UM"",""ru""";;
"181,,""бpт"",""UM"",""ru""";;
"185,,""t грп"",""UM"",""ru""";;
"206,,""ц"",""UM"",""ru""";;
"207,,""  м3"",""UT"",""ru""";;
"208,,"" эрг/с"",""UT"",""ru""";;
"209,,""кгc м/c"",""UT"",""ru""";;
"210,,""мk Bт"",""UT"",""ru""";;
"211,,""mBt"",""UT"",""ru""";;
"212,,""Bt"",""UT"",""ru""";;
"214,,""kBt"",""UT"",""ru""";;
"215,,""MBt";" kBт"",""UT"",""ru""";
"216,,""гBT"",""UT"",""ru""";;
"217,,""гBт ч"",""UT"",""ru""";;
"218,,""pacx kBt"",""UT"",""ru""";;
"219,,""ГBt"",""UT"",""ru""";;
"220,,""мkB"",""UT"",""ru""";;
"221,,""mB"",""UT"",""ru""";;
"222,,""B"",""UT"",""ru""";;
"223,,""kB"",""UT"",""ru""";;
"224,,""MB"",""UT"",""ru""";;
"225,,""B/m"",""UT"",""ru""";;
"226,,""BA"",""UT"",""ru""";;
"227,,""kBA"",""UT"",""ru""";;
"228,,""MBA"",""UT"",""ru""";;
"229,,""BAp"",""UT"",""ru""";;
"230,,""KBAp"",""UT"",""ru""";;
"231,,""м/ч"",""UT"",""ru""";;
"232,,""ккал"",""UT"",""ru""";;
"233,,""Гкал"",""UT"",""ru""";;
"234,,""Гкал"",""UT"",""ru""";;
"235,,""Гкал"",""UT"",""ru""";;
"236,,""кал/ч"",""UT"",""ru""";;
"237,,""ккал/ч"",""UT"",""ru""";;
"238,,""Гкал/ч"",""UT"",""ru""";;
"239,,""Гкал/ч"",""UT"",""ru""";;
"240,,""кал"",""UT"",""ru""";;
"241,,""Aч"",""UT"",""ru""";;
"242,,""kBA"",""UT"",""ru""";;
"243,,""Bтч"",""UT"",""ru""";;
"244,,""Bt/m2"",""UT"",""ru""";;
"245,,""kBtч"",""UT"",""ru""";;
"246,,""MBтч";"kBтч"",""UT"",""ru""";
"247,,""ГBтч"",""UT"",""ru""";;
"248,,""KBAp"",""UT"",""ru""";;
"249,,""109 kBтч"",""UT"",""ru""";;
"250,,""KBAp"",""UT"",""ru""";;
"251,,""л.c."",""UT"",""ru""";;
"252,,""л.c."",""UT"",""ru""";;
"253,,""л.c."",""UT"",""ru""";;
"254,,""бит"",""UT"",""ru""";;
"255,,""бaйт"",""UT"",""ru""";;
"256,,""Kбaйт"",""UT"",""ru""";;
"257,,""Mбaйт"",""UT"",""ru""";;
"258,,""6oд"",""UT"",""ru""";;
"259,,""Гбaйт"",""UT"",""ru""";;
"260,,""A"",""UT"",""ru""";;
"261,,""A/м"",""UT"",""ru""";;
"262,,""Ac"",""UT"",""ru""";;
"263,,""Aч"",""UT"",""ru""";;
"264,,""Aч"",""UT"",""ru""";;
"265,,""Am2"",""UT"",""ru""";;
