code,name,scheme,uri,region_code,region_country_code,region_country_language_code
1015000,s.Ciobanovca (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1015000,с.Чобановка (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1015001,s.Balmaz,CUATM,http://statistica.md,1000000,MD,en
1015001,s.Balmaz,CUATM,http://statistica.md,1000000,MD,ro
1015001,с.Балмаз,CUATM,http://statistica.md,1000000,MD,ru
1015002,s.Mirnoe,CUATM,http://statistica.md,1000000,MD,en
1015002,s.Mirnoe (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1015002,с.Мирное (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1015003,s.Troita Noua,CUATM,http://statistica.md,1000000,MD,en
1015003,s.Troiţa Nouă,CUATM,http://statistica.md,1000000,MD,ro
1015003,с.Троица Ноуэ,CUATM,http://statistica.md,1000000,MD,ru
1016000,s.Cobusca Noua,CUATM,http://statistica.md,1000000,MD,en
1016000,s.Cobusca Nouă,CUATM,http://statistica.md,1000000,MD,ro
1016000,с.Кобуска Ноуэ,CUATM,http://statistica.md,1000000,MD,ru
1017000,s.Cobusca Veche,CUATM,http://statistica.md,1000000,MD,en
1017000,s.Cobusca Veche,CUATM,http://statistica.md,1000000,MD,ro
1017000,с.Кобуска Веке,CUATM,http://statistica.md,1000000,MD,ru
1017001,s.Floresti,CUATM,http://statistica.md,1000000,MD,en
1017001,s.Floreşti (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1017001,с.Флорешть (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1018000,s.Delacau,CUATM,http://statistica.md,1000000,MD,en
1018000,s.Delacău (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1018000,с.Делакэу (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1019000,s.Floreni,CUATM,http://statistica.md,1000000,MD,en
1019000,s.Floreni (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1019000,с.Флорень (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1020000,s.Geamana,CUATM,http://statistica.md,1000000,MD,en
1020000,s.Geamăna,CUATM,http://statistica.md,1000000,MD,ro
1020000,с.Джямэна,CUATM,http://statistica.md,1000000,MD,ru
1020001,s.Batic,CUATM,http://statistica.md,1000000,MD,en
1020001,s.Batîc,CUATM,http://statistica.md,1000000,MD,ro
1020001,с.Батык,CUATM,http://statistica.md,1000000,MD,ru
1021000,s.Gura Bicului,CUATM,http://statistica.md,1000000,MD,en
1021000,s.Gura Bîcului,CUATM,http://statistica.md,1000000,MD,ro
1021000,с.Гура Быкулуй,CUATM,http://statistica.md,1000000,MD,ru
1022000,s.Hirbovat,CUATM,http://statistica.md,1000000,MD,en
1022000,s.Hîrbovăţ (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1022000,с.Хырбовэц (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1023000,s.Maximovca,CUATM,http://statistica.md,1000000,MD,en
1023000,s.Maximovca,CUATM,http://statistica.md,1000000,MD,ro
1023000,с.Максимовка,CUATM,http://statistica.md,1000000,MD,ru
1024000,s.Mereni,CUATM,http://statistica.md,1000000,MD,en
1024000,s.Mereni (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1024000,с.Мерень (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1025000,s.Merenii Noi,CUATM,http://statistica.md,1000000,MD,en
1025000,s.Merenii Noi,CUATM,http://statistica.md,1000000,MD,ro
1025000,с.Мерений Ной,CUATM,http://statistica.md,1000000,MD,ru
1026000,s.Ochiul Ros,CUATM,http://statistica.md,1000000,MD,en
1026000,s.Ochiul Roş,CUATM,http://statistica.md,1000000,MD,ro
1026000,с.Окюл Рош,CUATM,http://statistica.md,1000000,MD,ru
1026001,s.Picus,CUATM,http://statistica.md,1000000,MD,en
1026001,s.Picus,CUATM,http://statistica.md,1000000,MD,ro
1026001,с.Пикус,CUATM,http://statistica.md,1000000,MD,ru
1027000,s.Puhaceni,CUATM,http://statistica.md,1000000,MD,en
1027000,s.Puhăceni,CUATM,http://statistica.md,1000000,MD,ro
1027000,с.Пухэчень,CUATM,http://statistica.md,1000000,MD,ru
1028000,s.Roscani,CUATM,http://statistica.md,1000000,MD,en
1028000,s.Roşcani (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1028000,с.Рошкань (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1029000,s.Speia,CUATM,http://statistica.md,1000000,MD,en
1029000,s.Speia (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1029000,с.Спея (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1030000,s.Serpeni,CUATM,http://statistica.md,1000000,MD,en
1030000,s.Şerpeni,CUATM,http://statistica.md,1000000,MD,ro
1030000,с.Шерпень,CUATM,http://statistica.md,1000000,MD,ru
1031000,s.Telita,CUATM,http://statistica.md,1000000,MD,en
1031000,s.Teliţa,CUATM,http://statistica.md,1000000,MD,ro
1031000,с.Телица,CUATM,http://statistica.md,1000000,MD,ru
1031001,s.Telita Noua,CUATM,http://statistica.md,1000000,MD,en
1031001,s.Teliţa Nouă,CUATM,http://statistica.md,1000000,MD,ro
1031001,с.Телица Ноуэ,CUATM,http://statistica.md,1000000,MD,ru
1032000,s.Tintareni,CUATM,http://statistica.md,1000000,MD,en
1032000,s.Ţînţăreni (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1032000,с.Цынцэрень (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1032001,s.Cretoaia,CUATM,http://statistica.md,1000000,MD,en
1032001,s.Creţoaia,CUATM,http://statistica.md,1000000,MD,ro
1032001,с.Крецоая,CUATM,http://statistica.md,1000000,MD,ru
1033000,s.Varnita,CUATM,http://statistica.md,1000000,MD,en
1033000,s.Varniţa,CUATM,http://statistica.md,1000000,MD,ro
1033000,с.Варница,CUATM,http://statistica.md,1000000,MD,ru
1034000,s.Zolotievca,CUATM,http://statistica.md,1000000,MD,en
1034000,s.Zolotievca,CUATM,http://statistica.md,1000000,MD,ro
1034000,с.Золотиевка,CUATM,http://statistica.md,1000000,MD,ru
1034001,s.Larga,CUATM,http://statistica.md,1000000,MD,en
1034001,s.Larga (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1034001,с.Ларга (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1034002,s.Nicolaevca,CUATM,http://statistica.md,1000000,MD,en
1034002,s.Nicolaevca (r-l Anenii Noi),CUATM,http://statistica.md,1000000,MD,ro
1034002,с.Николаевка (р-н Анений Ной),CUATM,http://statistica.md,1000000,MD,ru
1201000,or.Basarabeasca,CUATM,http://statistica.md,1200000,MD,en
1201000,or.Basarabeasca,CUATM,http://statistica.md,1200000,MD,ro
1201000,г.Басарабяска,CUATM,http://statistica.md,1200000,MD,ru
1210000,s.Abaclia,CUATM,http://statistica.md,1200000,MD,en
1210000,s.Abaclia,CUATM,http://statistica.md,1200000,MD,ro
1210000,с.Абаклия,CUATM,http://statistica.md,1200000,MD,ru
1211000,s.Bascalia,CUATM,http://statistica.md,1200000,MD,en
1211000,s.Başcalia,CUATM,http://statistica.md,1200000,MD,ro
1211000,с.Башкалия,CUATM,http://statistica.md,1200000,MD,ru
1212000,s.Carabetovca,CUATM,http://statistica.md,1200000,MD,en
1212000,s.Carabetovca,CUATM,http://statistica.md,1200000,MD,ro
1212000,с.Карабетовка,CUATM,http://statistica.md,1200000,MD,ru
1213000,s.Iordanovca,CUATM,http://statistica.md,1200000,MD,en
1213000,s.Iordanovca,CUATM,http://statistica.md,1200000,MD,ro
1213000,с.Иордановка,CUATM,http://statistica.md,1200000,MD,ru
1214000,s.Iserlia,CUATM,http://statistica.md,1200000,MD,en
1214000,s.Iserlia,CUATM,http://statistica.md,1200000,MD,ro
1214000,с.Исерлия,CUATM,http://statistica.md,1200000,MD,ru
1214001,s.Bogdanovca,CUATM,http://statistica.md,1200000,MD,en
1214001,s.Bogdanovca,CUATM,http://statistica.md,1200000,MD,ro
1214001,с.Богдановка,CUATM,http://statistica.md,1200000,MD,ru
1214002,s.Carabiber,CUATM,http://statistica.md,1200000,MD,en
1214002,s.Carabiber,CUATM,http://statistica.md,1200000,MD,ro
1214002,с.Карабибер,CUATM,http://statistica.md,1200000,MD,ru
1214003,s.Ivanovca,CUATM,http://statistica.md,1200000,MD,en
1214003,s.Ivanovca (r-l Basarabeasca),CUATM,http://statistica.md,1200000,MD,ro
1214003,с.Ивановка (р-н Басарабяска),CUATM,http://statistica.md,1200000,MD,ru
1215000,s.Sadaclia,CUATM,http://statistica.md,1200000,MD,en
1215000,s.Sadaclia,CUATM,http://statistica.md,1200000,MD,ro
1215000,с.Садаклия,CUATM,http://statistica.md,1200000,MD,ru
1401000,or.Briceni,CUATM,http://statistica.md,1400000,MD,en
1401000,or.Briceni (r-l Briceni),CUATM,http://statistica.md,1400000,MD,ro
1401000,г.Бричень (р-н Бричень),CUATM,http://statistica.md,1400000,MD,ru
1402000,or.Lipcani,CUATM,http://statistica.md,1400000,MD,en
1402000,or.Lipcani,CUATM,http://statistica.md,1400000,MD,ro
1402000,г.Липкань,CUATM,http://statistica.md,1400000,MD,ru
1410000,s.Balasinesti,CUATM,http://statistica.md,1400000,MD,en
1410000,s.Balasineşti,CUATM,http://statistica.md,1400000,MD,ro
1410000,с.Баласинешть,CUATM,http://statistica.md,1400000,MD,ru
1411000,s.Beleavinti,CUATM,http://statistica.md,1400000,MD,en
1411000,s.Beleavinţi,CUATM,http://statistica.md,1400000,MD,ro
1411000,с.Белявинць,CUATM,http://statistica.md,1400000,MD,ru
1412000,s.Balcauti,CUATM,http://statistica.md,1400000,MD,en
1412000,s.Bălcăuţi,CUATM,http://statistica.md,1400000,MD,ro
1412000,с.Бэлкэуць,CUATM,http://statistica.md,1400000,MD,ru
1412001,s.Bocicauti,CUATM,http://statistica.md,1400000,MD,en
1412001,s.Bocicăuţi,CUATM,http://statistica.md,1400000,MD,ro
1412001,с.Бочкэуць,CUATM,http://statistica.md,1400000,MD,ru
1413000,s.Berlinti,CUATM,http://statistica.md,1400000,MD,en
1413000,s.Berlinţi,CUATM,http://statistica.md,1400000,MD,ro
1413000,с.Берлинць,CUATM,http://statistica.md,1400000,MD,ru
1413001,s.Caracusenii Noi,CUATM,http://statistica.md,1400000,MD,en
1413001,s.Caracuşenii Noi,CUATM,http://statistica.md,1400000,MD,ro
1413001,с.Каракушений Ной,CUATM,http://statistica.md,1400000,MD,ru
1414000,s.Bogdanesti,CUATM,http://statistica.md,1400000,MD,en
1414000,s.Bogdăneşti,CUATM,http://statistica.md,1400000,MD,ro
1414000,с.Богдэнешть,CUATM,http://statistica.md,1400000,MD,ru
1414001,s.Bezeda,CUATM,http://statistica.md,1400000,MD,en
1414001,s.Bezeda,CUATM,http://statistica.md,1400000,MD,ro
1414001,с.Безеда,CUATM,http://statistica.md,1400000,MD,ru
1414002,s.Grimesti,CUATM,http://statistica.md,1400000,MD,en
1414002,s.Grimeşti,CUATM,http://statistica.md,1400000,MD,ro
1414002,с.Гримешть,CUATM,http://statistica.md,1400000,MD,ru
1415000,s.Bulboaca,CUATM,http://statistica.md,1400000,MD,en
1415000,s.Bulboaca (r-l Briceni),CUATM,http://statistica.md,1400000,MD,ro
1415000,с.Булбоака (р-н Бричень),CUATM,http://statistica.md,1400000,MD,ru
1416000,s.Caracusenii Vechi,CUATM,http://statistica.md,1400000,MD,en
1416000,s.Caracuşenii Vechi,CUATM,http://statistica.md,1400000,MD,ro
1416000,с.Каракушений Векь,CUATM,http://statistica.md,1400000,MD,ru
1417000,s.Colicauti,CUATM,http://statistica.md,1400000,MD,en
1417000,s.Colicăuţi,CUATM,http://statistica.md,1400000,MD,ro
1417000,с.Коликэуць,CUATM,http://statistica.md,1400000,MD,ru
1417001,s.Trestieni,CUATM,http://statistica.md,1400000,MD,en
1417001,s.Trestieni,CUATM,http://statistica.md,1400000,MD,ro
1417001,с.Трестиень,CUATM,http://statistica.md,1400000,MD,ru
1418000,s.Corjeuti,CUATM,http://statistica.md,1400000,MD,en
1418000,s.Corjeuţi,CUATM,http://statistica.md,1400000,MD,ro
1418000,с.Коржеуць,CUATM,http://statistica.md,1400000,MD,ru
1419000,s.Coteala,CUATM,http://statistica.md,1400000,MD,en
1419000,s.Coteala,CUATM,http://statistica.md,1400000,MD,ro
1419000,с.Котяла,CUATM,http://statistica.md,1400000,MD,ru
1420000,s.Cotiujeni,CUATM,http://statistica.md,1400000,MD,en
1420000,s.Cotiujeni,CUATM,http://statistica.md,1400000,MD,ro
1420000,с.Котюжень,CUATM,http://statistica.md,1400000,MD,ru
1421000,s.Criva,CUATM,http://statistica.md,1400000,MD,en
1421000,s.Criva,CUATM,http://statistica.md,1400000,MD,ro
1421000,с.Крива,CUATM,http://statistica.md,1400000,MD,ru
1422000,s.Drepcauti,CUATM,http://statistica.md,1400000,MD,en
1422000,s.Drepcăuţi,CUATM,http://statistica.md,1400000,MD,ro
1422000,с.Дрепкэуць,CUATM,http://statistica.md,1400000,MD,ru
1423000,s.Grimancauti,CUATM,http://statistica.md,1400000,MD,en
1423000,s.Grimăncăuţi,CUATM,http://statistica.md,1400000,MD,ro
1423000,с.Гримэнкэуць,CUATM,http://statistica.md,1400000,MD,ru
1424000,s.Halahora De Sus,CUATM,http://statistica.md,1400000,MD,en
1424000,s.Halahora de Sus,CUATM,http://statistica.md,1400000,MD,ro
1424000,с.Халахора де Сус,CUATM,http://statistica.md,1400000,MD,ru
1424001,s.Chirilovca,CUATM,http://statistica.md,1400000,MD,en
1424001,s.Chirilovca (r-l Briceni),CUATM,http://statistica.md,1400000,MD,ro
1424001,с.Кириловка (р-н Бричень),CUATM,http://statistica.md,1400000,MD,ru
1424002,s.Halahora De Jos,CUATM,http://statistica.md,1400000,MD,en
1424002,s.Halahora de Jos,CUATM,http://statistica.md,1400000,MD,ro
1424002,с.Халахора де Жос,CUATM,http://statistica.md,1400000,MD,ru
1425000,s.Hlina,CUATM,http://statistica.md,1400000,MD,en
1425000,s.Hlina,CUATM,http://statistica.md,1400000,MD,ro
1425000,с.Хлина,CUATM,http://statistica.md,1400000,MD,ru
1426000,s.Larga,CUATM,http://statistica.md,1400000,MD,en
1426000,s.Larga (r-l Briceni),CUATM,http://statistica.md,1400000,MD,ro
1426000,с.Ларга (р-н Бричень),CUATM,http://statistica.md,1400000,MD,ru
1426001,s.Pavlovca,CUATM,http://statistica.md,1400000,MD,en
1426001,s.Pavlovca,CUATM,http://statistica.md,1400000,MD,ro
1426001,с.Павловка,CUATM,http://statistica.md,1400000,MD,ru
1427000,s.Marcauti,CUATM,http://statistica.md,1400000,MD,en
1427000,s.Mărcăuţi,CUATM,http://statistica.md,1400000,MD,ro
1427000,с.Мэркэуць,CUATM,http://statistica.md,1400000,MD,ru
1427001,s.Marcautii Noi,CUATM,http://statistica.md,1400000,MD,en
1427001,s.Mărcăuţii Noi,CUATM,http://statistica.md,1400000,MD,ro
1427001,с.Мэркэуций Ной,CUATM,http://statistica.md,1400000,MD,ru
1428000,s.Medveja,CUATM,http://statistica.md,1400000,MD,en
1428000,s.Medveja,CUATM,http://statistica.md,1400000,MD,ro
1428000,с.Медвежа,CUATM,http://statistica.md,1400000,MD,ru
1428001,s.Slobozia-Medveja,CUATM,http://statistica.md,1400000,MD,en
1428001,s.Slobozia-Medveja,CUATM,http://statistica.md,1400000,MD,ro
1428001,с.Слобозия-Медвежа,CUATM,http://statistica.md,1400000,MD,ru
