"BA12-5";"Hard";"Hard";"en"
"BA12-5";"Hard";"Tare";"ro"
"BA12-5";"Hard";"Hard";"ru"
"BA13-8";"Soft";"Soft";"en"
"BA13-8";"Soft";"Moale";"ro"
"BA13-8";"Soft";"Soft";"ru"
"BA14-1";"Dust/powder";"Dust/powder";"en"
"BA14-1";"Dust/powder";"Praf/Pulbere";"ro"
"BA14-1";"Dust/powder";"Dust/powder";"ru"
"BA15-4";"Residues";"Residues";"en"
"BA15-4";"Residues";"Reziduuri";"ro"
"BA15-4";"Residues";"Residues";"ru"
"BA16-7";"Flakes";"Flakes";"en"
"BA16-7";"Flakes";"Fulgi";"ro"
"BA16-7";"Flakes";"Flakes";"ru"
"BA17-0";"Bars";"Bars";"en"
"BA17-0";"Bars";"Bare";"ro"
"BA17-0";"Bars";"Bars";"ru"
"BA18-3";"Ash";"Ash";"en"
"BA18-3";"Ash";"Cenuşă";"ro"
"BA18-3";"Ash";"Ash";"ru"
"BA19-6";"Granules";"Granules";"en"
"BA19-6";"Granules";"Granule";"ro"
"BA19-6";"Granules";"Granules";"ru"
"BA20-9";"Ingots";"Ingots";"en"
"BA20-9";"Ingots";"Lingouri";"ro"
"BA20-9";"Ingots";"Ingots";"ru"
"BA22-5";"Rods";"Rods";"en"
"BA22-5";"Rods";"Tije";"ro"
"BA22-5";"Rods";"Rods";"ru"
"BA23-8";"Unwrought";"Unwrought";"en"
"BA23-8";"Unwrought";"Brut";"ro"
"BA23-8";"Unwrought";"Unwrought";"ru"
"BA24-1";"Frozen";"Frozen";"en"
"BA24-1";"Frozen";"Îngheţat";"ro"
"BA24-1";"Frozen";"Frozen";"ru"
"BA25-4";"Deep-frozen";"Deep-frozen";"en"
"BA25-4";"Deep-frozen";"Congelat";"ro"
"BA25-4";"Deep-frozen";"Deep-frozen";"ru"
"BA26-7";"Folded";"Folded";"en"
"BA26-7";"Folded";"Pliat";"ro"
"BA26-7";"Folded";"Folded";"ru"
"BA27-0";"Forged";"Forged";"en"
"BA27-0";"Forged";"Forjat";"ro"
"BA27-0";"Forged";"Forged";"ru"
"BA28-3";"Freeze-dried";"Freeze-dried";"en"
"BA28-3";"Freeze-dried";"Liofilizat";"ro"
"BA28-3";"Freeze-dried";"Freeze-dried";"ru"
"BA29-6";"Flat-rolled";"Flat-rolled";"en"
"BA29-6";"Flat-rolled";"Laminat plat";"ro"
"BA29-6";"Flat-rolled";"Flat-rolled";"ru"
"BA30-9";"Dried";"Dried";"en"
"BA30-9";"Dried";"Deshidratat";"ro"
"BA30-9";"Dried";"Dried";"ru"
"BA31-2";"Grated";"Grated";"en"
"BA31-2";"Grated";"Ras";"ro"
"BA31-2";"Grated";"Grated";"ru"
"BA32-5";"Concentrated";"Concentrated";"en"
"BA32-5";"Concentrated";"Concentrat";"ro"
"BA32-5";"Concentrated";"Concentrated";"ru"
"BA33-8";"Chilled";"Chilled";"en"
"BA33-8";"Chilled";"Refrigerat";"ro"
"BA33-8";"Chilled";"Chilled";"ru"
"BA34-1";"Coated";"Coated";"en"
"BA34-1";"Coated";"Învelit";"ro"
"BA34-1";"Coated";"Coated";"ru"
"BA35-4";"Galvanised";"Galvanised";"en"
"BA35-4";"Galvanised";"Galvanizat";"ro"
"BA35-4";"Galvanised";"Galvanised";"ru"
"BA36-7";"Granulated";"Granulated";"en"
"BA36-7";"Granulated";"Granulat";"ro"
"BA36-7";"Granulated";"Granulated";"ru"
"BA37-0";"Hot-rolled";"Hot-rolled";"en"
"BA37-0";"Hot-rolled";"Laminat la cald";"ro"
"BA37-0";"Hot-rolled";"Hot-rolled";"ru"
"BA38-3";"Vitrified";"Vitrified";"en"
"BA38-3";"Vitrified";"Vitrificat";"ro"
"BA38-3";"Vitrified";"Vitrified";"ru"
"BA39-6";"Laminated";"Laminated";"en"
"BA39-6";"Laminated";"Laminat";"ro"
"BA39-6";"Laminated";"Laminated";"ru"
"BA40-9";"Liquefied";"Liquefied";"en"
"BA40-9";"Liquefied";"Lichefiat";"ro"
"BA40-9";"Liquefied";"Liquefied";"ru"
"BA41-2";"Vulcanised";"Vulcanised";"en"
"BA41-2";"Vulcanised";"Vulcanizat";"ro"
"BA41-2";"Vulcanised";"Vulcanised";"ru"
"BA42-5";"Welded";"Welded";"en"
"BA42-5";"Welded";"Sudat";"ro"
"BA42-5";"Welded";"Welded";"ru"
"BA43-8";"Prepared";"Prepared";"en"
"BA43-8";"Prepared";"Preparat";"ro"
"BA43-8";"Prepared";"Prepared";"ru"
"BA44-1";"Pulverised";"Pulverised";"en"
"BA44-1";"Pulverised";"Pulverizat";"ro"
"BA44-1";"Pulverised";"Pulverised";"ru"
"BA45-4";"Refined";"Refined";"en"
"BA45-4";"Refined";"Rafinat";"ro"
"BA45-4";"Refined";"Refined";"ru"
"BA46-7";"Remelted";"Remelted";"en"
"BA46-7";"Remelted";"Retopit";"ro"
"BA46-7";"Remelted";"Remelted";"ru"
"BA47-0";"Untreated";"Untreated";"en"
"BA47-0";"Untreated";"Netratat";"ro"
"BA47-0";"Untreated";"Untreated";"ru"
"BA48-3";"Treated";"Treated";"en"
"BA48-3";"Treated";"Tratat";"ro"
"BA48-3";"Treated";"Treated";"ru"
"BA49-6";"Unliquefied";"Unliquefied";"en"
"BA49-6";"Unliquefied";"Nelichefiat";"ro"
"BA49-6";"Unliquefied";"Unliquefied";"ru"
"BA50-9";"Unrefined";"Unrefined";"en"
"BA50-9";"Unrefined";"Nerafinat";"ro"
"BA50-9";"Unrefined";"Unrefined";"ru"
"BA51-2";"Semi-finished";"Semi-finished";"en"
"BA51-2";"Semi-finished";"Semifinisat";"ro"
"BA51-2";"Semi-finished";"Semi-finished";"ru"
"BA52-5";"Processed";"Processed";"en"
"BA52-5";"Processed";"Prelucrat";"ro"
"BA52-5";"Processed";"Processed";"ru"
"BA53-8";"Semi-manufactured";"Semi-manufactured";"en"
"BA53-8";"Semi-manufactured";"Semiprelucrat";"ro"
"BA53-8";"Semi-manufactured";"Semi-manufactured";"ru"
"BA54-1";"Solution";"Solution";"en"
"BA54-1";"Solution";"Soluţie";"ro"
"BA54-1";"Solution";"Solution";"ru"
"BB01-3";"Non-tubular";"Non-tubular";"en"
"BB01-3";"Non-tubular";"Netubular";"ro"
"BB01-3";"Non-tubular";"Non-tubular";"ru"
"BB02-6";"Tubular";"Tubular";"en"
"BB02-6";"Tubular";"Tubular";"ro"
"BB02-6";"Tubular";"Tubular";"ru"
"BB03-9";"Round";"Round";"en"
"BB03-9";"Round";"Rotund";"ro"
"BB03-9";"Round";"Round";"ru"
"BB04-2";"Rectangular";"Rectangular";"en"
"BB04-2";"Rectangular";"Rectangular";"ro"
"BB04-2";"Rectangular";"Rectangular";"ru"
"BB05-5";"Square";"Square";"en"
"BB05-5";"Square";"Pătrat";"ro"
"BB05-5";"Square";"Square";"ru"
"BB06-8";"Triangle";"Triangle";"en"
"BB06-8";"Triangle";"Triunghiular";"ro"
"BB06-8";"Triangle";"Triangle";"ru"
